Date,Open,High,Low,Close,Volume,,,,,
42009.00,521.83,522.89,511.66,512.46,2059800.00,,,,,
42010.00,513.59,514.76,499.68,500.59,2899900.00,,,,,
42011.00,505.61,505.86,498.28,499.73,2065000.00,,,,,
42012.00,496.63,502.10,489.66,501.30,3353500.00,,,,,
42013.00,503.38,503.54,493.44,494.81,2071300.00,,,,,
42016.00,493.58,494.62,486.23,491.20,2326700.00,,,,,
42017.00,497.47,501.60,491.04,494.82,2370400.00,,,,,
42018.00,493.30,501.85,491.65,499.50,2215500.00,,,,,
42019.00,504.19,504.30,496.40,500.42,2715800.00,,,,,
42020.00,498.64,506.80,498.63,506.69,2298200.00,,,,,
42024.00,509.60,511.10,504.63,505.51,2232000.00,,,,,
42025.00,505.86,517.86,504.81,516.62,2268700.00,,,,,
42026.00,520.05,534.86,518.28,532.93,2676900.00,,,,,
42027.00,534.12,540.69,531.54,538.47,2281700.00,,,,,
42030.00,537.06,537.52,528.22,533.74,1543700.00,,,,,
42031.00,528.52,529.25,516.77,517.21,1904000.00,,,,,
42032.00,521.35,521.56,508.60,508.60,1683800.00,,,,,
42033.00,509.60,509.69,499.83,509.26,4186300.00,,,,,
42034.00,514.45,538.39,514.11,533.06,5606300.00,,,,,
42037.00,530.27,531.54,517.13,527.03,2849800.00,,,,,
42038.00,526.55,531.94,521.83,527.79,2038600.00,,,,,
42039.00,527.79,531.21,519.84,521.33,1663600.00,,,,,
42040.00,522.36,527.05,520.66,526.14,1849700.00,,,,,
42041.00,526.20,535.73,524.97,529.55,1763500.00,,,,,
42044.00,526.55,530.54,524.58,526.38,1267700.00,,,,,
42045.00,527.85,536.23,525.48,535.47,1749800.00,,,,,
42046.00,533.83,536.98,531.92,534.50,1377700.00,,,,,
42047.00,535.78,543.33,533.21,541.44,1620200.00,,,,,
42048.00,541.86,548.40,541.64,547.51,1900300.00,,,,,
42052.00,545.33,548.49,539.61,541.35,1616800.00,,,,,
42053.00,539.92,544.00,536.04,538.22,1453000.00,,,,,
42054.00,536.57,541.62,536.54,541.38,989100.00,,,,,
42055.00,541.64,542.26,534.33,537.47,1444300.00,,,,,
42058.00,534.58,534.97,527.96,530.45,1457800.00,,,,,
42059.00,528.55,535.32,526.80,534.62,1005000.00,,,,,
42060.00,534.43,544.72,533.98,542.38,1825900.00,,,,,
42061.00,541.72,554.62,540.02,553.96,2311500.00,,,,,
42062.00,552.72,563.16,551.39,556.87,2410100.00,,,,,
42065.00,559.00,570.58,557.22,569.78,2129600.00,,,,,
42066.00,568.89,573.81,564.97,572.07,1704700.00,,,,,
42067.00,570.30,575.53,566.45,571.80,1876800.00,,,,,
42068.00,573.45,576.33,571.84,573.75,1389600.00,,,,,
42069.00,573.31,575.10,565.21,566.13,1659100.00,,,,,
42072.00,565.31,568.71,561.99,567.29,1062100.00,,,,,
42073.00,562.71,563.30,553.21,553.49,1792300.00,,,,,
42074.00,553.62,556.61,549.17,549.67,1820700.00,,,,,
42075.00,551.99,554.85,548.95,553.99,1389600.00,,,,,
42076.00,551.98,556.87,542.73,545.82,1703500.00,,,,,
42079.00,549.44,555.33,544.51,552.99,1640900.00,,,,,
42080.00,550.20,552.28,546.50,549.33,1805500.00,,,,,
42081.00,550.99,558.25,545.50,557.97,2134500.00,,,,,
42082.00,557.86,559.26,554.62,556.46,1197200.00,,,,,
42083.00,560.11,560.18,557.52,558.83,2616800.00,,,,,
42086.00,558.90,560.82,554.31,557.28,1643800.00,,,,,
42087.00,561.02,573.02,559.67,568.63,2583200.00,,,,,
42088.00,568.94,570.69,557.21,557.26,2152200.00,,,,,
42089.00,556.06,557.37,549.14,553.65,1572600.00,,,,,
42090.00,551.49,553.76,546.63,546.84,1897400.00,,,,,
42093.00,550.11,551.95,546.67,550.52,1287500.00,,,,,
42094.00,548.49,553.19,545.22,546.50,1588000.00,,,,,
42095.00,547.10,549.63,538.02,541.07,1963000.00,,,,,
42096.00,539.37,539.37,532.39,534.06,1716300.00,,,,,
42100.00,530.76,536.94,528.12,535.30,1324400.00,,,,,
42101.00,536.61,541.20,534.53,535.55,1302800.00,,,,,
42102.00,536.91,542.36,536.91,540.13,1178500.00,,,,,
42103.00,539.55,540.47,534.02,539.30,1557800.00,,,,,
42104.00,540.81,540.81,535.84,538.53,1409400.00,,,,,
42107.00,536.94,542.57,535.84,537.69,1645300.00,,,,,
42108.00,534.78,536.10,526.65,528.94,2604100.00,,,,,
42109.00,527.25,533.27,521.79,531.07,2318800.00,,,,,
42110.00,528.45,534.12,528.16,532.34,1299800.00,,,,,
42111.00,527.21,528.39,519.58,522.62,2151800.00,,,,,
42114.00,524.16,534.62,523.06,533.91,1679200.00,,,,,
42115.00,536.04,537.91,532.21,532.51,1844700.00,,,,,
42116.00,532.94,539.60,530.29,537.89,1593500.00,,,,,
42117.00,539.52,549.45,538.75,545.50,4184800.00,,,,,
42118.00,564.55,569.58,555.72,563.51,4932500.00,,,,,
42121.00,563.39,565.95,553.20,555.37,2398000.00,,,,,
42122.00,554.64,556.02,550.37,553.68,1491000.00,,,,,
42123.00,550.47,553.68,546.91,549.08,1698800.00,,,,,
42124.00,547.87,548.59,535.05,537.34,2082200.00,,,,,
42125.00,538.43,539.54,532.10,537.90,1768200.00,,,,,
42128.00,538.53,544.07,535.06,540.78,1308000.00,,,,,
42129.00,538.21,539.74,530.39,530.80,1383100.00,,,,,
42130.00,531.24,532.38,521.09,524.22,1567000.00,,,,,
42131.00,523.99,533.46,521.75,530.70,1546300.00,,,,,
42132.00,536.65,541.15,525.00,538.22,1527600.00,,,,,
42135.00,538.37,541.98,535.40,535.70,905300.00,,,,,
42136.00,531.60,533.21,525.26,529.04,1634200.00,,,,,
42137.00,530.56,534.32,528.66,529.62,1252300.00,,,,,
42138.00,533.77,539.00,532.41,538.40,1403900.00,,,,,
42139.00,539.18,539.27,530.38,533.85,1971300.00,,,,,
42142.00,532.01,534.82,528.85,532.30,2003400.00,,,,,
42143.00,533.98,540.66,533.04,537.36,1966900.00,,,,,
42144.00,538.49,542.92,532.97,539.27,1430800.00,,,,,
42145.00,537.95,543.84,535.98,542.51,1462700.00,,,,,
42146.00,540.15,544.19,539.51,540.11,1176200.00,,,,,
42150.00,538.12,539.00,529.88,532.32,2406500.00,,,,,
42151.00,532.80,540.55,531.71,539.79,1525000.00,,,,,
42152.00,538.01,540.61,536.25,539.78,1029800.00,,,,,
42153.00,537.37,538.63,531.45,532.11,2597400.00,,,,,
42156.00,536.79,536.79,529.76,533.99,1904300.00,,,,,
42157.00,532.93,543.00,531.33,539.18,1939000.00,,,,,
42158.00,539.91,543.50,537.11,540.31,1714500.00,,,,,
42159.00,537.76,540.59,534.32,536.70,1348300.00,,,,,
42160.00,536.35,537.20,532.52,533.33,1388200.00,,,,,
42163.00,533.31,534.12,526.24,526.83,1520600.00,,,,,
42164.00,527.56,529.20,523.01,526.69,1455300.00,,,,,
42165.00,529.36,538.36,529.35,536.69,1815000.00,,,,,
42166.00,538.42,538.98,533.02,534.61,1217500.00,,,,,
42167.00,531.60,533.12,530.16,532.33,955800.00,,,,,
42170.00,528.00,528.30,524.00,527.20,1632700.00,,,,,
42171.00,528.40,529.64,525.56,528.15,1071800.00,,,,,
42172.00,529.37,530.98,525.10,529.26,1294200.00,,,,,
42173.00,531.00,538.15,530.79,536.73,1833100.00,,,,,
42174.00,537.21,538.25,533.01,536.69,1893500.00,,,,,
42177.00,539.59,543.74,537.53,538.19,1250300.00,,,,,
42178.00,539.64,541.50,535.25,540.48,1197500.00,,,,,
42179.00,540.00,540.00,535.66,537.84,1286600.00,,,,,
42180.00,538.87,540.90,535.23,535.23,1335700.00,,,,,
42181.00,537.26,537.76,531.35,531.69,2109100.00,,,,,
42184.00,525.01,528.61,520.54,521.52,1937800.00,,,,,
42185.00,526.02,526.25,520.50,520.51,2217200.00,,,,,
42186.00,524.73,525.69,518.23,521.84,1961000.00,,,,,
42187.00,521.08,524.65,521.08,523.40,1235900.00,,,,,
42191.00,519.50,525.25,519.00,522.86,1280500.00,,,,,
42192.00,523.13,526.18,515.18,525.02,1597200.00,,,,,
42193.00,521.05,522.73,516.11,516.83,1296700.00,,,,,
42194.00,523.12,523.77,520.35,520.68,1839400.00,,,,,
42195.00,526.29,532.56,525.55,530.13,1956700.00,,,,,
42198.00,532.88,547.11,532.40,546.55,2206500.00,,,,,
42199.00,546.76,565.85,546.71,561.10,3244100.00,,,,,
42200.00,560.13,566.50,556.79,560.22,1784600.00,,,,,
